País;Año;Recursos (Mill. Tns LCE);Reservas (Miles Tns LCE)
Argentina;1995;;
Argentina;1996;;
Argentina;1997;;
Argentina;1998;;
Argentina;1999;;
Argentina;2000;;
Argentina;2001;;
Argentina;2002;;
Argentina;2003;;
Argentina;2004;;
Argentina;2005;;
Argentina;2006;;
Argentina;2007;;
Argentina;2008;;
Argentina;2009;13.31;4258.4
Argentina;2010;13.84;4524.55
Argentina;2011;13.84;4524.55
Argentina;2012;34.6;4524.55
Argentina;2013;34.6;4524.55
Argentina;2014;34.6;4524.55
Argentina;2015;34.6;10646
Argentina;2016;47.91;10646
Argentina;2017;52.17;10646
Argentina;2018;78.78;10646
Argentina;2019;90.49;9049.1
Argentina;2020;102.73;10113.7
Argentina;2021;101.14;11710.6
Argentina;2022;106.46;14372.1
Argentina;2023;117.11;19162.8
Argentina;2024;122.43;21292
Australia;1995;;1969.51
Australia;1996;;798.45
Australia;1997;;798.45
Australia;1998;;798.45
Australia;1999;;798.45
Australia;2000;;798.45
Australia;2001;;798.45
Australia;2002;;851.68
Australia;2003;;851.68
Australia;2004;;851.68
Australia;2005;;851.68
Australia;2006;;851.68
Australia;2007;;851.68
Australia;2008;;904.91
Australia;2009;-;3087.34
Australia;2010;3.35;3087.34
Australia;2011;9.58;5163.31
Australia;2012;9.05;5323
Australia;2013;9.05;5323
Australia;2014;9.05;7984.5
Australia;2015;9.05;7984.5
Australia;2016;10.65;8516.8
Australia;2017;26.62;14372.1
Australia;2018;40.99;14372.1
Australia;2019;33.53;14904.4
Australia;2020;34.07;25018.1
Australia;2021;38.86;30341.1
Australia;2022;42.05;33002.6
Australia;2023;46.31;33002.6
Australia;2024;47.37;37261
Bolivia;2009;47.91;
Bolivia;2010;47.91;
Bolivia;2011;47.91;
Bolivia;2012;47.91;
Bolivia;2013;47.91;
Bolivia;2014;47.91;
Bolivia;2015;47.91;
Bolivia;2016;47.91;
Bolivia;2017;47.91;
Bolivia;2018;47.91;
Bolivia;2019;111.78;
Bolivia;2020;111.78;
Bolivia;2021;111.78;
Bolivia;2022;111.78;
Bolivia;2023;122.43;
Bolivia;2024;122.43;
Brasil;1995;;4.84
Brasil;1996;;4.84
Brasil;1997;;4.84
Brasil;1998;;4.84
Brasil;1999;;4.84
Brasil;2000;;4.84
Brasil;2001;;4.84
Brasil;2002;;1011.37
Brasil;2003;;1011.37
Brasil;2004;;1011.37
Brasil;2005;;1011.37
Brasil;2006;;1011.37
Brasil;2007;;1011.37
Brasil;2008;;1011.37
Brasil;2009;;1011.37
Brasil;2010;;340.67
Brasil;2011;;340.67
Brasil;2012;;244.86
Brasil;2013;;244.86
Brasil;2014;;255.5
Brasil;2015;;255.5
Brasil;2016;;255.5
Brasil;2017;;255.5
Brasil;2018;;287.44
Brasil;2019;;505.69
Brasil;2020;;505.69
Brasil;2021;;505.69
Brasil;2022;;1330.75
Brasil;2023;;2075.97
